# Board: cherry
dEQP-VK.api.device_init.create_instance_device_intentional_alloc_fail.basic,Timeout
dEQP-VK.api.image_clearing.core.clear_color_image.2d.optimal.single_layer.r64_uint_1x33,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.2d.optimal.single_layer.r64_uint_1x33_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.2d.optimal.single_layer.r64_uint_200x180,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.2d.optimal.single_layer.r64_uint_200x180_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.2d.optimal.single_layer.r64_uint_33x128,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.2d.optimal.single_layer.r64_uint_33x128_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.2d.optimal.single_layer.r64_uint_64x11,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.2d.optimal.single_layer.r64_uint_64x11_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.2d.optimal.single_layer.r64_uint,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.2d.optimal.single_layer.r64_uint_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.3d.optimal.single_layer.r64_sint_200x180x16,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.3d.optimal.single_layer.r64_sint_200x180x16_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.3d.optimal.single_layer.r64_sint_32x29x3,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.3d.optimal.single_layer.r64_sint_32x29x3_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.3d.optimal.single_layer.r64_sint_55x21x11,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.3d.optimal.single_layer.r64_sint_55x21x11_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.3d.optimal.single_layer.r64_sint,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.3d.optimal.single_layer.r64_sint_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.3d.optimal.single_layer.r64_uint_200x180x16,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.3d.optimal.single_layer.r64_uint_200x180x16_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.3d.optimal.single_layer.r64_uint_32x29x3,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.3d.optimal.single_layer.r64_uint_32x29x3_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.3d.optimal.single_layer.r64_uint_55x21x11,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.3d.optimal.single_layer.r64_uint_55x21x11_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.3d.optimal.single_layer.r64_uint,Fail
dEQP-VK.api.image_clearing.core.clear_color_image.3d.optimal.single_layer.r64_uint_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.a8b8g8r8_snorm_pack32_200x180_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.a8b8g8r8_snorm_pack32_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.a8b8g8r8_snorm_pack32_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.a8b8g8r8_snorm_pack32_64x11_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.a8b8g8r8_snorm_pack32_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.a8b8g8r8_snorm_pack32_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.b10g11r11_ufloat_pack32_200x180_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.b10g11r11_ufloat_pack32_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.b10g11r11_ufloat_pack32_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.b10g11r11_ufloat_pack32_64x11_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.b10g11r11_ufloat_pack32_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.b10g11r11_ufloat_pack32_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.e5b9g9r9_ufloat_pack32_200x180_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.e5b9g9r9_ufloat_pack32_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.e5b9g9r9_ufloat_pack32_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.e5b9g9r9_ufloat_pack32_64x11_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.e5b9g9r9_ufloat_pack32_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.e5b9g9r9_ufloat_pack32_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_sfloat_200x180_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_sfloat_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_sfloat_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_sfloat_64x11_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_sfloat_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_sfloat_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_snorm_200x180_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_snorm_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_snorm_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_snorm_64x11_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_snorm_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_snorm_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_unorm_200x180_clamp_input_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_unorm_200x180_clamp_input_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_unorm_200x180_clamp_input_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_unorm_200x180_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_unorm_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_unorm_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_unorm_64x11_clamp_input_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_unorm_64x11_clamp_input_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_unorm_64x11_clamp_input_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_unorm_64x11_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_unorm_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16a16_unorm_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16_sfloat_200x180_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16_sfloat_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16_sfloat_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16_sfloat_64x11_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16_sfloat_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16b16_sfloat_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_sfloat_200x180_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_sfloat_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_sfloat_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_sfloat_64x11_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_sfloat_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_sfloat_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_snorm_200x180_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_snorm_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_snorm_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_snorm_64x11_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_snorm_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_snorm_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_unorm_200x180_clamp_input_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_unorm_200x180_clamp_input_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_unorm_200x180_clamp_input_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_unorm_200x180_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_unorm_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_unorm_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_unorm_64x11_clamp_input_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_unorm_64x11_clamp_input_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_unorm_64x11_clamp_input_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_unorm_64x11_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_unorm_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16g16_unorm_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_sfloat_200x180_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_sfloat_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_sfloat_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_sfloat_64x11_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_sfloat_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_sfloat_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_snorm_200x180_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_snorm_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_snorm_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_snorm_64x11_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_snorm_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_snorm_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_unorm_200x180_clamp_input_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_unorm_200x180_clamp_input_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_unorm_200x180_clamp_input_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_unorm_200x180_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_unorm_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_unorm_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_unorm_64x11_clamp_input_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_unorm_64x11_clamp_input_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_unorm_64x11_clamp_input_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_unorm_64x11_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_unorm_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r16_unorm_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r32g32b32a32_sfloat_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r32g32b32a32_sfloat_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r32g32b32a32_sfloat_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r32g32b32a32_sfloat_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r32g32_sfloat_200x180_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r32g32_sfloat_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r32g32_sfloat_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r32g32_sfloat_64x11_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r32g32_sfloat_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r32g32_sfloat_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r32_sfloat_200x180_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r32_sfloat_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r32_sfloat_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r32_sfloat_64x11_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r32_sfloat_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r32_sfloat_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r8g8b8a8_snorm_200x180_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r8g8b8a8_snorm_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r8g8b8a8_snorm_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r8g8b8a8_snorm_64x11_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r8g8b8a8_snorm_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r8g8b8a8_snorm_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r8g8_snorm_200x180_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r8g8_snorm_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r8g8_snorm_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r8g8_snorm_64x11_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r8g8_snorm_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r8g8_snorm_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r8_snorm_200x180_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r8_snorm_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r8_snorm_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r8_snorm_64x11_sample_count_16,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r8_snorm_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_attachment.multiple_layers.r8_snorm_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.multiple_layers.r64_sint_200x1,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.multiple_layers.r64_sint_200x1_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.multiple_layers.r64_sint_71x1,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.multiple_layers.r64_sint_71x1_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.multiple_layers.r64_sint,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.multiple_layers.r64_sint_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.multiple_layers.r64_uint_200x1,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.multiple_layers.r64_uint_200x1_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.multiple_layers.r64_uint_71x1,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.multiple_layers.r64_uint_71x1_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.multiple_layers.r64_uint,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.multiple_layers.r64_uint_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.remaining_array_layers.r64_sint_200x1,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.remaining_array_layers.r64_sint_200x1_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.remaining_array_layers.r64_sint_71x1,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.remaining_array_layers.r64_sint_71x1_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.remaining_array_layers.r64_sint,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.remaining_array_layers.r64_sint_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.remaining_array_layers.r64_uint_200x1,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.remaining_array_layers.r64_uint_200x1_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.remaining_array_layers.r64_uint_71x1,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.remaining_array_layers.r64_uint_71x1_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.remaining_array_layers.r64_uint,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.remaining_array_layers.r64_uint_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.remaining_array_layers_twostep.r64_sint_200x1,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.remaining_array_layers_twostep.r64_sint_71x1,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.remaining_array_layers_twostep.r64_sint,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.remaining_array_layers_twostep.r64_uint_200x1,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.remaining_array_layers_twostep.r64_uint_71x1,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.remaining_array_layers_twostep.r64_uint,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.single_layer.r64_sint_200x1,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.single_layer.r64_sint_200x1_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.single_layer.r64_sint_71x1,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.single_layer.r64_sint_71x1_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.single_layer.r64_sint,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.single_layer.r64_sint_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.single_layer.r64_uint_200x1,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.single_layer.r64_uint_200x1_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.single_layer.r64_uint_71x1,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.single_layer.r64_uint_71x1_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.single_layer.r64_uint,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.1d.optimal.single_layer.r64_uint_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.2d.optimal.multiple_layers.r64_sint_1x33,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.2d.optimal.multiple_layers.r64_sint_1x33_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.2d.optimal.multiple_layers.r64_sint_200x180,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.2d.optimal.multiple_layers.r64_sint_200x180_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.2d.optimal.multiple_layers.r64_sint_33x128,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.2d.optimal.multiple_layers.r64_sint_33x128_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.2d.optimal.multiple_layers.r64_sint_64x11,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.2d.optimal.multiple_layers.r64_sint_64x11_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.2d.optimal.multiple_layers.r64_sint,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.2d.optimal.multiple_layers.r64_sint_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.2d.optimal.multiple_layers.r64_uint_1x33,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.2d.optimal.multiple_layers.r64_uint_1x33_multiple_subresourcerange,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.2d.optimal.multiple_layers.r64_uint_200x180,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.2d.optimal.multiple_layers.r64_uint_200x180_multiple_subresourcerange,Fail
